H_sed,Vs_sed0,Vs_sedz,K_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle
2.8069520526123446,0.5249793121664044,2.354127574242023,2.252912412429392,15.290651380115133,3.526096490833212,1.819399999156253,27.974793678850265,4.1511154317308625,1.6595852480583397,4.565537591787458,1.7899383389833474
2.9797359256974367,0.7294525362919658,2.336982302481632,2.2910874225952833,15.2588749666851,3.5728069812087817,1.7622700684022718,27.05415317800491,4.167909939915452,1.6997794443156038,4.530881131825161,1.7904876100726042
3.512887022822282,0.7302967832263587,2.3798395924831155,2.1343714870330084,15.783344883491605,3.581360444555128,1.7535742109645167,27.408380388670405,4.2151255685034235,1.7017704316488875,4.577862131258121,1.806677811537846
2.746006139271674,0.9455717380594437,2.397237146109703,2.0691604912231907,15.865612702695861,3.576627662288415,1.759305223144969,27.571400315023855,4.2334753353867205,1.7042575056559484,4.527466453670626,1.7945931123983048
2.5705343375631586,0.5454358232875431,2.273142108226836,2.072426637604641,15.890628587299055,3.6468647608978415,1.7924609976830754,27.072020627614,4.202530022570626,1.7118161175954614,4.587385665345747,1.7984327148861152
3.030558489173741,0.5609782793294128,2.230329275360024,2.0203567798421243,15.215807555460522,3.533532138113334,1.8068672581406349,26.733426366301806,4.178929379788157,1.6708104890864657,4.5724359109745105,1.8064774110715822
2.5551260340654567,0.6286322068618744,2.010193527980059,2.1644713247352936,15.76684977879006,3.5504267224185133,1.8142146231182696,27.734413283813982,4.219878524721499,1.698105409304929,4.503407826420733,1.8083641207351784
2.373637794730757,0.7390223412212409,2.0280259570669203,2.08045147159276,15.14551817662096,3.5639709084138564,1.7546361790699376,27.709301722472333,4.265197914844125,1.6740758008769854,4.494449701859126,1.8097203304224663
2.7362951088844123,0.5663663343157546,2.5583829640390396,2.123353143920661,15.62195632836526,3.546234160606882,1.734695266432523,28.22979453666203,4.2492746546671745,1.6744337586624993,4.562494548544569,1.7976244561595738
3.0363722525524004,0.6977244091359427,2.0388953087731903,2.1650026971868024,16.509295777863958,3.630081062184104,1.7988206611484852,32.98464826336244,4.261426432448174,1.6784646905644731,4.555795203704989,1.7874350101672956
2.8530807628202606,0.7022818406897658,2.058660296717246,2.167422731212451,16.16623231543168,3.642256276673317,1.775767549910389,29.47713427409199,3.9984327969410884,1.7195794772056867,4.579929733341869,1.7787757260463195
3.926915530906211,0.6113766894727073,2.0865932707954506,2.0295565863281144,15.276423791495999,3.6784602377677826,1.7575047513699085,28.776708093778154,3.9568381393887937,1.7109059886164253,4.560324999461197,1.7861639652514154
3.8886212518227445,0.5967535413229079,2.134386710168421,2.030290284476102,16.654147576702968,3.678394395183757,1.7393295182324864,28.47553788334966,4.306255931958157,1.661169637586065,4.5641967311244915,1.7840918637344845
2.761602801978209,0.7666829973510247,2.0114179486624484,2.0158897446174247,16.589031174484244,3.4309502127701315,1.7898392834153551,33.14219558760361,3.9682329024796177,1.656638591479862,4.541592703824259,1.781136739351429
4.260476522572958,0.7147683421768372,2.0656990990225017,2.0274523479583118,17.809982884913076,3.832704040047208,1.7968437883904815,33.10298416670361,4.2087451891109176,1.664904028174914,4.523255873883412,1.7832904798723046
4.084496944663542,0.7643306004350138,2.077636622385381,2.213660832888105,17.28139828482648,3.790331099712807,1.8322606016983405,34.11102787728005,4.1237729792062305,1.6657565425131686,4.535209187407724,1.7886853150250106
3.564269597207736,0.5687735612447589,2.1919675136987165,2.349470968856284,17.426968073915592,3.8467510675817924,1.805850823073277,34.01537560065321,4.137217234643477,1.653026654954067,4.61867196350067,1.7915922165622367
3.2726415114420644,0.760764345490984,2.145803249724089,2.321488364572153,18.027132333897782,3.848284016122939,1.8183480967628127,33.92603027708004,4.12031568367264,1.6583876305014766,4.538292283984711,1.7880263960088065
4.197535558771106,0.8415033485887757,2.0751345382287,2.2184452568398734,17.051924530458884,3.7432033796309745,1.8252832420798255,34.77660769731942,4.116478065661676,1.6576197030124578,4.599758706230742,1.7976986577858618
2.268895677024989,0.708397856919836,2.1518899187228877,2.1888862824096273,18.202849768023313,3.713451208605284,1.791430699703215,27.650258177872196,4.027277106909886,1.665145867320432,4.591266025017684,1.7913294061476175
3.035588594425654,0.5182426368783369,2.2171909731974884,2.1948839608663024,18.499779451159593,3.661165248352548,1.7414386501075425,27.494101023001633,4.066948734120881,1.6605808089169483,4.57593130476584,1.7837492475353565
2.066839944314207,0.509531763944191,2.0478382198337464,2.111904470112498,19.267030107435396,3.5810944121552137,1.7290407333985423,26.75039197330156,3.9978218753797385,1.681705953424693,4.583822222477576,1.8066619280089602
2.1310661112109424,0.5157853273025819,2.003431916922447,2.118652182616396,17.32591675182495,3.555040687993263,1.7319421395569348,28.68360606501377,3.9220058844980805,1.6721910833125149,4.541789788528131,1.7777274217975976
2.3746520717171444,0.7140921942521117,2.017673673785687,2.0282470064827374,16.95809839710731,3.4797991757752227,1.7644401375581906,29.98740291070435,3.948743406832624,1.6921713179634585,4.50720584156563,1.7961634972885676
2.4030406250503344,0.6812831475514983,2.0240832661866723,2.017290043541457,15.704570951158214,3.4484191640113955,1.7989534247979324,31.476630085256858,3.9847969030668393,1.6656074730636967,4.523374150799495,1.7503256029451122
2.615843905179768,0.8103776258771234,2.0749569219598314,2.2942262674735865,15.415863877720763,3.487092700112467,1.7833563266217665,30.065138341075883,3.939047763541132,1.702874160091376,4.492268103954554,1.7678305675218098
